iter	Passed	Remaining
0	1	1538
1	2	1450
2	4	1432
3	5	1337
4	7	1423
5	8	1354
6	9	1308
7	10	1277
8	11	1250
9	12	1233
10	13	1228
11	19	1594
12	20	1575
13	22	1570
14	23	1554
15	26	1630
16	28	1622
17	29	1596
18	36	1881
19	38	1899
20	40	1887
21	44	1974
22	48	2041
23	49	2021
24	50	1986
25	53	2007
26	54	1974
27	56	1945
28	57	1921
29	58	1901
30	60	1880
31	63	1932
32	65	1929
33	67	1905
34	68	1886
35	69	1867
36	74	1942
37	104	2645
38	132	3261
39	134	3225
40	136	3191
41	138	3150
42	140	3122
43	142	3093
44	144	3063
45	146	3039
46	149	3033
47	151	2995
48	152	2959
49	153	2924
50	162	3020
51	164	2995
52	189	3387
53	191	3347
54	216	3727
55	218	3679
56	219	3633
57	220	3589
58	222	3549
59	230	3615
60	232	3576
61	234	3548
62	236	3514
63	237	3475
64	238	3437
65	244	3453
66	246	3435
67	248	3408
68	252	3400
69	287	3818
70	293	3834
71	294	3795
72	295	3757
73	297	3719
74	300	3701
75	306	3725
76	307	3691
77	311	3683
78	313	3650
79	333	3839
80	340	3863
81	341	3828
82	342	3785
83	343	3747
84	344	3710
85	345	3675
86	347	3644
87	348	3610
88	349	3575
89	350	3542
90	353	3533
91	355	3512
92	357	3483
93	358	3452
94	359	3422
95	360	3393
96	361	3364
97	362	3335
98	363	3307
99	365	3287
100	368	3280
101	369	3254
102	371	3233
103	372	3207
104	374	3189
105	375	3165
106	376	3140
107	377	3115
108	378	3092
109	379	3069
110	380	3046
111	384	3050
112	386	3032
113	387	3011
114	388	2989
115	389	2968
116	390	2945
117	391	2928
118	392	2908
119	393	2888
120	395	2869
121	396	2850
122	402	2869
123	404	2855
124	406	2847
125	408	2831
126	409	2817
127	411	2800
128	414	2796
129	415	2779
130	416	2765
131	417	2747
132	419	2735
133	420	2719
134	421	2703
135	422	2686
136	423	2670
137	424	2654
138	426	2639
139	430	2642
140	431	2630
141	432	2613
142	433	2598
143	434	2583
144	435	2569
145	436	2555
146	438	2545
147	439	2531
148	440	2517
149	442	2505
150	444	2496
151	445	2484
152	447	2479
153	448	2465
154	449	2452
155	450	2439
156	451	2426
157	453	2414
158	455	2411
159	459	2412
160	460	2400
161	462	2392
162	463	2381
163	466	2376
164	467	2366
165	469	2356
166	470	2346
167	471	2335
168	475	2338
169	477	2329
170	478	2318
171	479	2307
172	480	2296
173	481	2286
174	483	2278
175	484	2268
176	485	2257
177	486	2246
178	489	2244
179	492	2242
180	493	2233
181	494	2223
182	496	2215
183	497	2208
184	499	2199
185	501	2195
186	504	2195
187	507	2190
188	508	2180
189	509	2172
190	511	2166
191	512	2158
192	514	2149
193	515	2140
194	516	2130
195	517	2121
196	521	2124
